MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,timediff,image name,image polarisation,image resolution,crs,waterbody percentage,date,chipname,nearest ship
636092313,2020-03-29 00:34:15,29.25447,-94.71777,0.0,0.1,15.0,INDUSTRIAL REVOLUTIO,IMO9267742,D5AH2,0,1.0,134.0,21.0,8.0,70.0,A,940.0,S1A_IW_GRDH_1SDV_20200329T001835_20200329T001900_031883_03AE27_3B58,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-03-29,2020-03-29-165832_dualchannel.tif,3440.8991196620145
249111000,2020-12-03 22:59:33,38.94143,-76.40668,0.0,48.0,193.0,CAPRI,IMO9248526,9HKW9,0,1.0,289.0,45.0,17.8,,A,40.0,S1A_IW_GRDH_1SDV_20201203T225853_20201203T225918_035528_04276B_9CFA,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-12-03,2020-12-03-6534261_dualchannel.tif,1404.2466447826946
212735000,2020-04-08 23:38:09,27.64347,-83.05727,0.0,346.1,237.0,MOTTLER,IMO9477828,5BQU2,0,1.0,185.0,23.0,10.4,,A,84.0,S1A_IW_GRDH_1SDV_20200408T233645_20200408T233710_032043_03B3D3_5D6D,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-04-08,2020-04-08-7508481_dualchannel.tif,2173.6901658100664
316012308,2020-12-08 22:57:33,43.22874,-79.3029,0.0,155.5,269.0,SARAH DESGAGNES,IMO9352171,XJAB,1,1.0,147.0,22.0,9.5,,A,637.0,S1A_IW_GRDH_1SDV_20201208T230810_20201208T230835_035601_0429F7_31AC,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-12-08,2020-12-08-7159939_dualchannel.tif,1220.8421225436173
235076283,2020-11-13 01:55:05,33.68879,-118.13193,0.0,170.7,237.0,PARAMOUNT HYDRA,IMO9453999,2CWC3,1,1.0,249.0,44.0,14.8,,A,319.0,S1B_IW_GRDH_1SDV_20201113T014946_20201113T015011_024240_02E159_B5C7,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-11-13,2020-11-13-494820_dualchannel.tif,1207.8043428753317
636015565,2020-11-04 22:47:32,40.50867,-73.58783,0.0,93.0,190.0,VIKTOR BAKAEV,IMO9610810,D5BN6,1,1.0,249.0,46.0,14.6,,A,227.0,S1A_IW_GRDH_1SDV_20201104T225119_20201104T225144_035105_0418C8_D291,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-11-04,2020-11-04-5990828_dualchannel.tif,6888.491877744369
636013812,2020-01-22 00:28:38,29.17017,-94.59233,0.0,147.0,70.0,RONALD N,IMO9386304,A8PQ3,1,1.0,227.0,32.0,12.8,80.0,A,126.0,S1A_IW_GRDH_1SDV_20200122T002632_20200122T002657_030906_038C1D_C3CD,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-01-22,2020-01-22-134419_dualchannel.tif,4211.27966100843
319106900,2020-02-03 00:25:35,28.86825,-95.16672,0.0,299.4,234.0,STOLT INTEGRITY,IMO9680097,ZGEY2,1,1.0,,,,,A,56.0,S1A_IW_GRDH_1SDV_20200203T002631_20200203T002656_031081_039239_F1B5,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-02-03,2020-02-03-110684_dualchannel.tif,2482.4016831241447
538006071,2020-02-03 00:27:56,29.21179,-94.68368,0.0,341.0,241.0,MARIE S,IMO9702223,V7JL8,1,1.0,183.0,,,,A,85.0,S1A_IW_GRDH_1SDV_20200203T002631_20200203T002656_031081_039239_F1B5,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-02-03,2020-02-03-120179_dualchannel.tif,2204.4292376069425
351954000,2020-11-18 02:09:45,47.98963,-122.25311,0.0,142.1,156.0,OCEAN SEAGULL,IMO9542855,3FSU4,0,1.0,119.0,21.0,8.4,77.0,A,472.0,S1B_IW_GRDH_1SDV_20201118T020153_20201118T020218_024313_02E3A8_4F86,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-11-18,2020-11-18-560241_dualchannel.tif,86174.0247750277
367551960,2020-06-28 00:05:07,29.72874,-93.10394,0.0,57.7,511.0,JOHN PAUL,IMO8990756,WDG5948,2,,24.0,7.0,,,B,313.0,S1A_IW_GRDH_1SDV_20200628T001020_20200628T001045_033210_03D8EA_E80A,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-06-28,2020-06-28-526703_dualchannel.tif,7306.591304532007
367633000,2020-12-27 23:04:23,36.86965,-75.68001,0.0,40.2,102.0,LONESTAR STATE,IMO9697985,WLSY,1,1.0,178.0,,,,A,356.0,S1A_IW_GRDH_1SDV_20201227T225827_20201227T225852_035878_04338F_0A20,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-12-27,2020-12-27-6387665_dualchannel.tif,4681.895154336669
538005167,2020-06-26 23:39:49,30.41293,-81.29863,0.0,180.5,165.0,NAVE PULSAR,IMO9379313,V7BM3,1,1.0,183.0,32.0,13.3,80.0,A,630.0,S1A_IW_GRDH_1SDV_20200626T232919_20200626T232944_033195_03D86F_2D8A,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-06-26,2020-06-26-8581116_dualchannel.tif,1391.3577970888416
369222000,2020-03-17 23:21:39,32.68053,-79.68226,0.0,53.9,80.0,LIBERTY PASSION,IMO9777888,WLPI,0,1.0,,,,,A,4.0,S1A_IW_GRDH_1SDV_20200317T232143_20200317T232208_031722_03A875_68AC,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-03-17,2020-03-17-6329170_dualchannel.tif,21153.23736189718
538005171,2020-05-12 23:59:26,30.11913,-88.58915,0.0,118.7,116.0,STI VIRTUS,IMO9686699,V7AY4,1,1.0,183.0,32.0,13.3,,A,337.0,S1A_IW_GRDH_1SDV_20200512T235349_20200512T235418_032539_03C4C7_3DD6,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-05-12,2020-05-12-6756042_dualchannel.tif,3503.319797753738
209799000,2020-05-13 02:35:19,54.13272,-130.6068,0.0,294.1,207.0,ARETHOUSA,IMO9232060,5BUQ3,0,1.0,289.0,44.0,17.9,,A,447.0,S1B_IW_GRDH_1SDV_20200513T022752_20200513T022817_021557_028ED6_ED3E,"['VV', 'VH']",10.0,EPSG:32609,100.0,2020-05-13,2020-05-13-780481_dualchannel.tif,1251.9774939328397
240626000,2020-11-11 02:11:37,49.05202,-123.68323,0.0,215.0,311.0,ARIS T,IMO9343895,SVHY,0,1.0,229.0,36.0,14.7,70.0,A,77.0,S1B_IW_GRDH_1SDV_20201111T021020_20201111T021045_024211_02E065_4114,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-11-11,2020-11-11-562829_dualchannel.tif,1392.6895810488531
367728870,2020-04-22 00:15:56,29.34696,-94.76504,0.0,194.0,108.0,FREDERICK E BOUCHARD,IMO9794692,WDI7451,3,1.0,39.0,,,,A,160.0,S1A_IW_GRDH_1SDV_20200422T001836_20200422T001901_032233_03BA79_35B1,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-04-22,2020-04-22-59010_dualchannel.tif,808.152992430877
538006041,2020-02-19 14:24:32,49.20647,-123.91701,0.0,109.8,187.0,TR PRINCE,IMO9742651,V7JE4,0,1.0,199.0,32.0,13.3,,A,256.0,S1B_IW_GRDH_1SDV_20200219T142016_20200219T142041_020339_026857_0182,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-02-19,2020-02-19-3598040_dualchannel.tif,1915.58068802126
538003726,2020-12-18 00:18:36,29.25421,-94.49812,0.0,303.0,134.0,SEAWAYS SKOPELOS,IMO9478638,V7SU9,1,1.0,183.0,32.0,13.1,80.0,A,7.0,S1A_IW_GRDH_1SDV_20201218T001843_20201218T001908_035733_042E7C_CA57,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-12-18,2020-12-18-89952_dualchannel.tif,2021.0568110443448
311000592,2020-04-21 02:05:31,37.72855,-122.33376,0.0,247.7,303.0,AMAZON FALCON,IMO9779587,C6CW4,1,1.0,,,,,A,80.0,S1B_IW_GRDH_1SDV_20200421T020651_20200421T020716_021236_0284C2_2EBF,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-04-21,2020-04-21-574197_dualchannel.tif,1013.8653976194414
311109000,2020-05-28 23:19:30,28.31108,-80.50932,0.0,261.5,117.0,NORWEGIAN SUN,IMO9218131,C6RN3,4,1.0,258.0,32.0,8.0,,A,61.0,S1A_IW_GRDH_1SDV_20200528T232031_20200528T232056_032772_03CBCE_3FD5,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-05-28,2020-05-28-7891075_dualchannel.tif,2239.802833191957
367621000,2020-05-24 23:54:29,30.36734,-87.24169,0.0,137.6,35.0,REBEKAH,IMO7932331,WDI7588,3,11.0,23.0,8.0,,,A,39.0,S1A_IW_GRDH_1SDV_20200524T235350_20200524T235419_032714_03CA16_B4D9,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-05-24,2020-05-24-7900989_dualchannel.tif,75288.45351319895
636015177,2020-06-21 01:57:48,33.70323,-118.14317,0.0,328.2,261.0,AQUALOYALTY,IMO9594664,A8ZC6,1,1.0,248.0,43.0,15.0,80.0,A,22.0,S1A_IW_GRDH_1SDV_20200621T015810_20200621T015839_033109_03D5E6_F9F7,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-06-21,2020-06-21-555887_dualchannel.tif,1397.9939256853706
477738600,2020-12-30 01:59:14,33.6805,-118.11992,0.0,178.0,239.0,OOCL LUXEMBOURG,IMO9417270,VRGO3,0,1.0,322.0,42.0,14.5,70.0,A,61.0,S1A_IW_GRDH_1SDV_20201230T015813_20201230T015842_035909_0434A0_9D54,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-12-30,2020-12-30-626130_dualchannel.tif,1201.902434618929
371545000,2020-04-22 00:19:37,28.71187,-93.81837,0.0,342.0,114.0,TAI PROSPERITY,IMO9303510,3EDC4,0,1.0,225.0,32.0,14.1,70.0,A,86.0,S1A_IW_GRDH_1SDV_20200422T001811_20200422T001836_032233_03BA79_D4E7,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-04-22,2020-04-22-106654_dualchannel.tif,44447.56584580906
352604000,2020-03-04 02:00:19,37.75554,-122.3436,0.0,97.2,341.0,PALMA BULKER,IMO9311191,3FWR,0,1.0,225.0,32.0,14.0,70.0,A,391.0,S1B_IW_GRDH_1SDV_20200304T020650_20200304T020715_020536_026EA0_F08E,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-03-04,2020-03-04-546099_dualchannel.tif,734.619969718444
538006268,2020-05-27 02:16:31,49.19039,-123.89806,0.0,23.3,336.0,SBI CARIOCA,IMO9719549,V7LF4,0,1.0,229.0,,,,A,378.0,S1B_IW_GRDH_1SDV_20200527T021013_20200527T021038_021761_0294D3_B3E3,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-05-27,2020-05-27-712768_dualchannel.tif,1028.6410137997532
538008466,2020-11-26 14:30:05,49.29007,-123.19997,0.0,253.0,152.0,LACTA,IMO9502362,V7A2389,0,1.0,197.0,32.0,10.8,70.0,A,75.0,S1B_IW_GRDH_1SDV_20201126T142850_20201126T142915_024437_02E79F_DB93,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-11-26,2020-11-26-3669604_dualchannel.tif,944.231103293419
311307000,2020-06-02 23:14:19,28.33118,-80.50617,0.0,182.2,92.0,NORWEGIAN DAWN,IMO9195169,C6FT7,4,0.0,294.0,32.0,8.2,,A,874.0,S1A_IW_GRDH_1SDV_20200602T232853_20200602T232918_032845_03CDEA_65BA,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-06-02,2020-06-02-7479911_dualchannel.tif,2038.170430556917
636015419,2020-03-19 23:11:59,37.20194,-76.13194,0.0,48.9,152.0,HELVETIA ONE,IMO9588603,D5AP8,0,1.0,229.0,38.0,14.9,,A,338.0,S1A_IW_GRDH_1SDV_20200319T230621_20200319T230646_031751_03A974_B248,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-03-19,2020-03-19-6472290_dualchannel.tif,2080.6704462488538
356623000,2020-04-07 14:29:25,49.29686,-123.20714,0.0,21.1,130.0,NEW FACE,IMO9780316,HONR,0,1.0,,,,,A,548.0,S1B_IW_GRDH_1SDV_20200407T142017_20200407T142042_021039_027E93_23D6,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-04-07,2020-04-07-4147434_dualchannel.tif,834.4083480114423
219484000,2020-12-01 13:53:46,32.3473,-117.11683,0.0,73.0,239.0,HAFNIA LIBRA,IMO9617959,OUYK2,1,1.0,183.0,32.0,13.0,,A,41.0,S1A_IW_GRDH_1SDV_20201201T135305_20201201T135330_035493_042645_D395,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-12-01,2020-12-01-3370992_dualchannel.tif,inf
367568960,2020-04-14 04:41:48,21.27711,-157.88156,0.0,356.5,511.0,ST DAMIEN,,WDG7604,2,,19.0,6.0,,,B,142.0,S1A_IW_GRDH_1SDV_20200414T043926_20200414T043951_032119_03B66F_E29B,"['VV', 'VH']",10.0,EPSG:32604,100.0,2020-04-14,2020-04-14-1251966_dualchannel.tif,3691.6920204949897
249055000,2020-11-20 13:36:47,32.63845,-117.19619,0.0,195.2,253.0,CELEBRITY MILLENNIUM,IMO9189419,9HJF9,4,1.0,293.0,32.0,8.3,,A,443.0,S1B_IW_GRDH_1SDV_20201120T134410_20201120T134435_024349_02E4C7_4640,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-11-20,2020-11-20-4081906_dualchannel.tif,1299.248717878217
311009200,2020-05-12 13:32:24,32.30592,-117.09037,0.0,163.0,238.0,GULF BAYNUNAH,IMO9381562,C6XG8,1,1.0,183.0,32.0,12.2,80.0,A,699.0,S1B_IW_GRDH_1SDV_20200512T134403_20200512T134428_021549_028E9D_027E,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-05-12,2020-05-12-3695022_dualchannel.tif,1561.5328909510736
538005910,2020-12-06 00:17:34,29.2388,-94.70949,0.0,321.3,60.0,SILVER AMANDA,IMO9682394,V7EU4,1,1.0,183.0,32.0,11.0,,A,70.0,S1A_IW_GRDH_1SDV_20201206T001844_20201206T001909_035558_042874_CD7A,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-12-06,2020-12-06-97720_dualchannel.tif,1039.6843690613405
636015175,2020-05-04 01:59:03,33.68899,-118.11629,0.0,345.6,235.0,AQUALEADER,IMO9592238,A8ZC4,1,1.0,249.0,43.0,15.0,89.0,A,56.0,S1A_IW_GRDH_1SDV_20200504T015807_20200504T015836_032409_03C0AB_2CCE,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-05-04,2020-05-04-1506085_dualchannel.tif,1305.2429660983694
636011496,2020-12-06 00:16:23,29.24889,-94.63089,0.0,116.0,58.0,ELKA ELEFTHERIA,IMO9216925,ELZP9,1,1.0,183.0,31.0,12.0,,A,141.0,S1A_IW_GRDH_1SDV_20201206T001844_20201206T001909_035558_042874_CD7A,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-12-06,2020-12-06-91143_dualchannel.tif,1797.5501463669582
354974000,2020-06-30 14:30:03,49.03081,-123.64367,0.0,87.9,329.0,KEY PACIFICO,IMO9544102,3FGU4,0,1.0,228.0,32.0,14.4,,A,557.0,S1B_IW_GRDH_1SDV_20200630T142046_20200630T142111_022264_02A41B_4A84,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-06-30,2020-06-30-6454591_dualchannel.tif,10429.351293426029
367739090,2020-03-27 23:21:05,25.66721,-82.59774,0.0,284.2,511.0,ALIMA JEAN,IMO8719853,WDI8487,2,,23.0,6.0,,,B,915.0,S1A_IW_GRDH_1SDV_20200327T233620_20200327T233645_031868_03ADA5_A547,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-03-27,2020-03-27-6172045_dualchannel.tif,46842.82545891516
219672000,2020-05-05 16:12:37,20.96069,-157.61506,0.0,184.6,97.0,BERING GAS,IMO9745536,OWYQ2,1,1.0,159.0,,,,A,684.0,S1A_IW_GRDH_1SDV_20200505T162401_20200505T162426_032432_03C17E_E14C,"['VV', 'VH']",10.0,EPSG:32604,100.0,2020-05-05,2020-05-05-5121778_dualchannel.tif,39408.15771374005
311000465,2020-12-23 00:25:37,29.10553,-94.58189,0.0,331.9,122.0,SEBAROK SPIRIT,IMO9572264,C6CG5,1,1.0,242.0,42.0,15.4,,A,62.0,S1A_IW_GRDH_1SDV_20201223T002639_20201223T002704_035806_043102_3B93,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-12-23,2020-12-23-141276_dualchannel.tif,2783.945146542778
538005171,2020-06-21 00:16:09,29.28936,-94.54699,0.0,99.8,198.0,STI VIRTUS,IMO9686699,V7AY4,1,1.0,183.0,32.0,13.3,,A,150.0,S1A_IW_GRDH_1SDV_20200621T001839_20200621T001904_033108_03D5E1_71EF,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-06-21,2020-06-21-86013_dualchannel.tif,1572.8145862123
367747750,2020-03-27 23:49:09,26.1328,-82.23361,0.0,179.9,511.0,JULIA VICTORIA,,WDI9350,2,,,,,,B,769.0,S1A_IW_GRDH_1SDV_20200327T233620_20200327T233645_031868_03ADA5_A547,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-03-27,2020-03-27-6323448_dualchannel.tif,10936.887367537003
636018222,2020-12-12 01:59:15,33.68675,-118.20204,0.0,68.1,234.0,NYK DELPHINUS,IMO9337652,D5OS3,0,1.0,294.0,32.0,12.4,70.0,A,97.0,S1B_IW_GRDH_1SDV_20201212T015738_20201212T015807_024663_02EEDA_0B9D,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-12-12,2020-12-12-590780_dualchannel.tif,1065.443321000256
355437000,2020-06-21 00:16:49,28.50175,-94.49638,0.0,1.0,99.0,NOBLE SPIRIT,IMO9213909,H3UY,1,1.0,179.0,32.0,12.1,,A,85.0,S1A_IW_GRDH_1SDV_20200621T001814_20200621T001839_033108_03D5E1_0C00,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-06-21,2020-06-21-81867_dualchannel.tif,7224.212436655348
538002946,2020-03-10 14:07:45,37.76176,-122.35771,0.0,237.8,168.0,OVERSEAS LUZON,IMO9301940,V7NE5,1,1.0,227.0,32.0,14.3,,A,7.0,S1A_IW_GRDH_1SDV_20200310T140752_20200310T140817_031614_03A4AE_2502,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-03-10,2020-03-10-6877726_dualchannel.tif,1001.486405208719
477137600,2020-02-27 00:30:32,29.06494,-94.66598,0.0,224.1,341.0,ORIENTAL JUBILEE,IMO9763813,VRPP5,1,1.0,225.0,,,,A,242.0,S1A_IW_GRDH_1SDV_20200227T002630_20200227T002655_031431_039E54_C147,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-02-27,2020-02-27-147724_dualchannel.tif,2588.3060577208967
248390000,2020-01-11 02:00:55,49.3039,-123.2157,0.0,320.0,102.0,MARIETTA,IMO9281437,9HA2346,0,1.0,224.0,32.0,14.1,,A,75.0,S1B_IW_GRDH_1SDV_20200111T020210_20200111T020234_019763_0255E0_E8D9,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-11,2020-01-11-502057_dualchannel.tif,898.2647826696574
371083000,2020-11-12 23:19:05,25.80718,-78.43682,0.0,41.9,112.0,CARNIVAL LIBERTY,IMO9278181,HPYE,4,1.0,290.0,35.0,8.3,,A,43.0,S1A_IW_GRDH_1SDV_20201112T231948_20201112T232013_035222_041CD6_CDA6,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-11-12,2020-11-12-5955123_dualchannel.tif,2344.678053309135
367392020,2020-03-12 00:10:11,29.09208,-90.71353,0.0,288.3,511.0,LIL WEASEL,,WDE7336,3,0.0,11.0,5.0,,52.0,A,21.0,S1A_IW_GRDH_1SDV_20200312T000950_20200312T001015_031635_03A568_B49C,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-03-12,2020-03-12-3640605_dualchannel.tif,16476.21671264424
538004034,2020-04-08 00:33:54,27.32289,-96.82918,0.0,291.6,44.0,COLORADO,IMO9594767,V7UU7,1,0.0,274.0,48.0,17.0,80.0,A,15.0,S1A_IW_GRDH_1SDV_20200408T003409_20200408T003434_032029_03B34E_03C9,"['VV', 'VH']",10.0,EPSG:32614,100.0,2020-04-08,2020-04-08-155990_dualchannel.tif,43552.80418902684
212917000,2020-01-20 11:15:33,26.09113,-79.11245,0.0,290.3,302.0,FOUMA,IMO9395082,C4WT2,0,1.0,166.0,25.0,9.5,70.0,A,338.0,S1A_IW_GRDH_1SDV_20200120T110955_20200120T111024_030883_038B53_F83B,"['VV', 'VH']",10.0,EPSG:32617,100.0,2020-01-20,2020-01-20-2447053_dualchannel.tif,inf
371166000,2020-05-10 02:16:21,49.30178,-123.09232,0.0,144.0,74.0,AZUL CIELO,IMO9278636,3EBM5,0,1.0,299.0,50.0,17.9,70.0,A,851.0,S1B_IW_GRDH_1SDV_20200510T020210_20200510T020235_021513_028D8B_A4E5,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-05-10,2020-05-10-5352397_dualchannel.tif,6264.219983984655
368504000,2020-11-18 22:39:39,18.32106,-64.97796,0.0,65.8,118.0,CAPTAIN DANN,IMO7367251,WBH6425,3,11.0,29.0,8.0,3.6,,A,669.0,S1A_IW_GRDH_1SDV_20201118T222830_20201118T222855_035309_041FE4_9766,"['VV', 'VH']",10.0,EPSG:32620,100.0,2020-11-18,2020-11-18-6117628_dualchannel.tif,8387.727095999164
636017329,2020-03-10 00:22:46,29.2297,-94.62076,0.0,308.0,86.0,CIELO DI TAMPA,IMO9707754,D5KJ8,0,1.0,179.0,,,,A,225.0,S1A_IW_GRDH_1SDV_20200310T002631_20200310T002656_031606_03A464_C4A7,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-03-10,2020-03-10-131918_dualchannel.tif,2168.4737445301203
369262000,2020-04-15 00:23:09,29.33097,-94.60482,0.0,91.6,35.0,PAUL MCLERNAN,IMO9827671,WDJ4817,3,1.0,,,,,A,203.0,S1A_IW_GRDH_1SDV_20200415T002632_20200415T002657_032131_03B6DA_EC5C,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-04-15,2020-04-15-107390_dualchannel.tif,927.5233678802704
636090169,2020-05-21 00:27:41,27.83505,-96.88707,0.0,198.0,198.0,GASCHEM JUMME,IMO9040883,ELSV2,1,1.0,113.0,15.0,7.0,82.0,A,93.0,S1A_IW_GRDH_1SDV_20200521T002608_20200521T002633_032656_03C83D_5781,"['VV', 'VH']",10.0,EPSG:32615,100.0,2020-05-21,2020-05-21-137187_dualchannel.tif,2238.847316840523
367452180,2020-03-23 22:29:41,41.61085,-71.28862,0.0,286.5,118.0,DENALI,IMO9592185,WDI8455,3,5.0,38.0,11.0,4.1,57.0,A,314.0,S1A_IW_GRDH_1SDV_20200323T223455_20200323T223520_031809_03AB8E_7C34,"['VV', 'VH']",10.0,EPSG:32619,100.0,2020-03-23,2020-03-23-5989899_dualchannel.tif,inf
419001087,2020-01-10 14:08:08,37.7394,-122.3394,0.0,260.0,166.0,JAG PUNIT,IMO9709984,AWNX,1,1.0,183.0,,,,A,15.0,S1A_IW_GRDH_1SDV_20200110T140753_20200110T140818_030739_03863E_E2C8,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-10,2020-01-10-3345451_dualchannel.tif,819.7467935520212
