index,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,timediff,image name,image polarisation,image resolution,crs,waterbody percentage,date,chipname,nearest ship
6432713,366947110,2020-01-01 23:56:11,28.86417,-88.0555,0.0,257.0,138.0,BOURBON,IMO9315513,WDD3649,90.0,0.0,64.0,16.0,4.9,70.0,A,143.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6432713_dualchannel.tif,22074.280241127297
6415983,367658490,2020-01-01 23:51:28,30.24062,-88.46025,0.0,189.5,511.0,MISS GERALINE,IMO8958095,WDH8486,30.0,,24.0,7.0,,,B,140.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6415983_dualchannel.tif,8362.86284617589
4600266,538005412,2020-01-01 13:51:09,32.32179,-117.09911,0.0,34.7,301.0,STI TEXAS CITY,IMO9681106,V7DP5,80.0,1.0,183.0,32.0,13.0,,A,427.0,S1B_IW_GRDH_1SDV_20200101T134402_20200101T134427_019624_025171_645D,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-01-01,2020-01-01-4600266_dualchannel.tif,2558.021633790928
6429170,353499000,2020-01-01 23:56:27,30.0745,-88.08425,0.0,29.3,135.0,MSC DAMLA,IMO9250983,HOCR,70.0,1.0,293.0,40.0,14.0,74.0,A,159.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6429170_dualchannel.tif,1659.2966918896004
6656453,636015370,2020-01-01 13:37:42,32.63898,-117.18239,0.0,194.8,102.0,GARDENIA ACE,IMO9542295,D5AG5,70.0,1.0,180.0,30.0,9.2,70.0,A,380.0,S1B_IW_GRDH_1SDV_20200101T134402_20200101T134427_019624_025171_645D,"['VV', 'VH']",10.0,EPSG:32611,100.0,2020-01-01,2020-01-01-6656453_dualchannel.tif,35074.36433621935
6424823,563775000,2020-01-01 23:54:18,30.08554,-88.05532,0.0,245.2,160.0,BANDA SEA,IMO8106056,9VAG,70.0,1.0,175.0,35.0,6.0,,A,30.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6424823_dualchannel.tif,1678.6539362238505
6404889,367414780,2020-01-01 23:49:24,29.77395,-88.22214,0.0,360.0,511.0,ELLIOT CHERAMIE,IMO9202326,WDE9213,90.0,5.0,44.0,10.0,3.0,,A,264.0,S1A_IW_GRDH_1SDV_20200101T235348_20200101T235417_030614_0381E5_94FD,"['VV', 'VH']",10.0,EPSG:32616,100.0,2020-01-01,2020-01-01-6404889_dualchannel.tif,6193.779175549505
6502561,366999620,2020-01-02 22:42:51,37.58812,-76.37527,0.0,52.6,511.0,CG BLUEFIN,,NRKI,90.0,1.0,26.0,5.0,,,A,930.0,S1A_IW_GRDH_1SDV_20200102T225821_20200102T225846_030628_038269_1C2C,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6502561_dualchannel.tif,65494.92903171966
4252513,357329000,2020-01-02 14:12:59,49.18145,-123.90068,0.0,53.6,13.0,JPS ELLI,IMO9763992,3ECI9,70.0,1.0,,,,,A,439.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4252513_dualchannel.tif,992.605020863326
6933811,538090158,2020-01-02 22:57:52,38.93695,-75.16774,0.0,0.0,339.0,CAPE BAXLEY,IMO9248825,V7EQ2,80.0,1.0,274.0,48.0,17.1,80.0,A,54.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6933811_dualchannel.tif,1358.2209230276856
6933574,368097150,2020-01-02 22:56:13,39.44507,-75.99122,0.0,115.3,511.0,G.L. 63,IMO0000000,WDK8763,33.0,,30.0,20.0,,,B,153.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6933574_dualchannel.tif,23429.69703050942
4022158,257072360,2020-01-02 14:23:12,49.28403,-123.17435,0.0,202.0,312.0,BELCARGO,IMO9403061,LAHL8,70.0,1.0,190.0,32.0,6.1,70.0,A,174.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4022158_dualchannel.tif,996.721444265069
6567783,311035500,2020-01-02 22:58:47,38.94993,-75.18012,0.0,244.8,344.0,SONANGOL KALANDULA,IMO9575553,C6ZB4,80.0,1.0,274.0,48.0,17.0,,A,1.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6567783_dualchannel.tif,1796.0426242067326
6574974,338418000,2020-01-02 22:58:29,36.76066,-75.64016,0.0,245.0,213.0,MAERSK DENVER,IMO9332999,WMDQ,70.0,1.0,299.0,40.0,14.5,70.0,A,8.0,S1A_IW_GRDH_1SDV_20200102T225821_20200102T225846_030628_038269_1C2C,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6574974_dualchannel.tif,2315.5322007681107
4012089,232011808,2020-01-02 14:21:36,48.81033,-123.40167,0.0,229.3,207.0,,,,,1.0,,,,,A,53.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4012089_dualchannel.tif,14268.977791597184
6559304,373119000,2020-01-02 22:55:42,36.76093,-75.61422,0.0,205.0,196.0,HELSINKI BRIDGE,IMO9588081,3FIW4,70.0,1.0,334.0,45.0,14.0,73.0,A,159.0,S1A_IW_GRDH_1SDV_20200102T225821_20200102T225846_030628_038269_1C2C,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6559304_dualchannel.tif,2315.5322007681107
6561294,538003617,2020-01-02 22:58:15,38.53025,-74.67815,0.0,239.0,202.0,DUBAI CHARM,IMO9402495,V7SB7,80.0,1.0,249.0,44.0,15.0,80.0,A,31.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6561294_dualchannel.tif,12086.689088010136
4001002,311004900,2020-01-02 14:19:47,49.29912,-123.19215,0.0,314.0,244.0,SWIFT ACE,IMO9338838,C6XB8,70.0,0.0,199.0,32.0,9.8,70.0,A,31.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4001002_dualchannel.tif,876.4227617387398
4503215,538003107,2020-01-02 14:20:20,49.29064,-123.18361,0.0,193.8,318.0,ECOAN G O,IMO9349306,V7OL3,70.0,1.0,224.0,32.0,14.3,70.0,A,2.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4503215_dualchannel.tif,880.7290649228667
692044,369970402,2020-01-02 02:27:43,55.5663,-131.8033,0.0,95.3,511.0,IX 527 SUSPENSION,,,90.0,,,,,,B,33.0,S1B_IW_GRDH_1SDV_20200102T022816_20200102T022841_019632_0251A1_B767,"['VV', 'VH']",10.0,EPSG:32609,100.0,2020-01-02,2020-01-02-692044_dualchannel.tif,inf
6562204,256242000,2020-01-02 22:58:34,38.98088,-75.20752,0.0,199.3,330.0,LILY OLDENDORFF,IMO9698434,9HA3861,,1.0,,,,,A,12.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6562204_dualchannel.tif,4175.036071118324
4042435,367124390,2020-01-02 14:28:43,48.81927,-122.72144,0.0,106.0,208.0,NRC COLUMBIA,IMO8978485,WDA8288,90.0,1.0,38.0,9.0,2.6,,A,480.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4042435_dualchannel.tif,26337.55413699092
4006713,352905000,2020-01-02 14:20:55,49.28325,-123.18957,0.0,339.0,238.0,KEN HOU,IMO9293882,HOIK,70.0,1.0,170.0,27.0,9.7,,A,37.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4006713_dualchannel.tif,928.8728089230582
4015039,338602000,2020-01-02 14:22:01,47.53512,-122.52848,0.0,360.0,283.0,BALTIMORE,IMO9804784,WDI9338,31.0,1.0,30.0,,,,A,78.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4015039_dualchannel.tif,3329.8193411985567
6581615,356407000,2020-01-02 23:01:05,36.84733,-75.7002,0.0,271.5,206.0,EVER LUCKY,IMO9604172,3FAE4,70.0,1.0,335.0,46.0,-12.0,74.0,A,164.0,S1A_IW_GRDH_1SDV_20200102T225821_20200102T225846_030628_038269_1C2C,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6581615_dualchannel.tif,11005.88143774582
4011552,338616000,2020-01-02 14:21:32,48.59094,-122.53818,0.0,8.3,253.0,DUBLIN SEA,IMO9492684,WDE9779,31.0,1.0,39.0,13.0,,,A,49.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4011552_dualchannel.tif,1553.5292324638745
4021681,256709000,2020-01-02 14:22:23,49.29078,-123.19572,0.0,314.0,232.0,MG SAKURA,IMO9331529,9HA3987,70.0,1.0,224.0,32.0,13.8,70.0,A,125.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4021681_dualchannel.tif,880.7290649228667
4012974,577168000,2020-01-02 14:23:07,49.2884,-123.21224,0.0,225.1,142.0,PACIFIC HARMONY,IMO9668271,YJTJ9,70.0,1.0,179.0,29.0,10.5,,A,169.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4012974_dualchannel.tif,1230.0898420902831
4002315,566716000,2020-01-02 14:19:02,49.023,-123.66333,0.0,334.0,229.0,THOR BRAVE,IMO9474797,9V6451,70.0,1.0,190.0,32.0,12.6,70.0,A,101.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4002315_dualchannel.tif,30437.49951483625
4656704,374263000,2020-01-02 14:22:21,48.72261,-123.54343,0.0,237.6,144.0,HL HARMONY,IMO9693551,3FHQ7,,1.0,292.0,,,,A,98.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4656704_dualchannel.tif,14268.977791597184
3996660,229697000,2020-01-02 14:18:19,48.60479,-122.541,0.0,47.7,228.0,HAKO,IMO9691814,9HA3527,70.0,1.0,199.0,32.0,13.3,,A,144.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-3996660_dualchannel.tif,1553.5292324638745
707449,548950000,2020-01-02 02:30:28,54.19898,-130.36394,0.0,335.6,253.0,PRESINGE TRADER,IMO9756925,DUIR,70.0,1.0,,,,,A,157.0,S1B_IW_GRDH_1SDV_20200102T022751_20200102T022816_019632_0251A1_2C7D,"['VV', 'VH']",10.0,EPSG:32609,100.0,2020-01-02,2020-01-02-707449_dualchannel.tif,inf
4024885,538008694,2020-01-02 14:23:45,47.56007,-122.50398,0.0,148.0,232.0,,,,,1.0,,,,,A,182.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4024885_dualchannel.tif,3329.8193411985567
3915488,351522000,2020-01-02 14:05:20,49.29723,-123.25002,0.0,171.7,233.0,NAVIOS VENUS,IMO9713492,3FQD3,70.0,1.0,199.0,32.0,13.0,,A,898.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-3915488_dualchannel.tif,2917.220473590552
4003559,636013691,2020-01-02 14:20:09,49.30846,-123.18392,0.0,293.4,263.0,YM UPWARD,IMO9337468,A8OR6,70.0,1.0,333.0,42.0,14.5,,A,9.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4003559_dualchannel.tif,877.250668694715
4002236,636019161,2020-01-02 14:19:02,49.17264,-123.89847,0.0,292.1,297.0,,,,,1.0,,,,,A,76.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4002236_dualchannel.tif,992.605020863326
4031773,477401600,2020-01-02 14:26:37,47.59772,-122.35261,0.0,56.2,156.0,,,,,1.0,,,,,A,354.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4031773_dualchannel.tif,12128.081661396767
4041569,354227000,2020-01-02 14:27:53,47.2813,-122.44016,0.0,267.2,116.0,SANTA EMILIA,IMO9609524,H9XP,70.0,1.0,225.0,32.0,14.0,70.0,A,405.0,S1B_IW_GRDH_1SDV_20200102T142108_20200102T142134_019639_0251DC_0A1E,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4041569_dualchannel.tif,5336.162325217933
4152126,477214900,2020-01-02 14:05:45,48.13286,-123.43039,0.0,181.1,275.0,PTI HERCULES,IMO9358307,VRBY7,80.0,0.0,183.0,32.0,13.2,80.0,A,898.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4152126_dualchannel.tif,925.487755995496
4031712,477654600,2020-01-02 14:26:35,49.30666,-123.19567,0.0,345.4,240.0,PILATUS VENTURE,IMO9693214,VROA8,70.0,1.0,199.0,,,,A,377.0,S1B_IW_GRDH_1SDV_20200102T142018_20200102T142043_019639_0251DC_C8DE,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4031712_dualchannel.tif,876.4227617387398
6579965,367141250,2020-01-02 23:00:13,38.07074,-76.4129,0.0,205.7,127.0,JENNIFER TURECAMO,IMO7390935,WDD4175,31.0,1.0,36.0,10.0,4.2,,A,87.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6579965_dualchannel.tif,94374.4572269896
3957998,356244000,2020-01-02 14:09:54,47.3092,-122.4976,0.0,124.8,197.0,,,,,1.0,,,,,A,674.0,S1B_IW_GRDH_1SDV_20200102T142108_20200102T142134_019639_0251DC_0A1E,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-3957998_dualchannel.tif,5336.162325217933
3984966,255805661,2020-01-02 14:16:23,48.35241,-123.35836,0.0,330.7,262.0,SCHUBERT,IMO9456965,CQGL,70.0,1.0,262.0,32.0,12.5,,A,260.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-3984966_dualchannel.tif,24056.38213131692
4650735,367770990,2020-01-02 14:21:43,48.59088,-122.62618,0.0,185.5,295.0,MIN ZIDELL,IMO9836402,WDJ3750,31.0,1.0,,,,,A,60.0,S1B_IW_GRDH_1SDV_20200102T142043_20200102T142108_019639_0251DC_6BFA,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-02,2020-01-02-4650735_dualchannel.tif,6467.897543069046
6553527,367727460,2020-01-02 22:56:10,35.47008,-75.4487,0.0,46.7,511.0,GASTON BELL,IMO8983703,WDI7313,30.0,,26.0,7.0,,,B,101.0,S1A_IW_GRDH_1SDV_20200102T225751_20200102T225821_030628_038269_847B,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6553527_dualchannel.tif,inf
6603286,367367390,2020-01-02 23:05:45,39.2291,-76.54905,0.0,65.3,138.0,DIAMOND COAST,,WBY3781,31.0,1.0,25.0,9.0,,,A,419.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6603286_dualchannel.tif,29222.54147272996
6527999,367009020,2020-01-02 22:47:27,38.58183,-74.80033,0.0,312.0,197.0,CONTI,IMO9285299,WDD3645,90.0,3.0,64.0,16.0,4.9,90.0,A,679.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6527999_dualchannel.tif,12086.689088010136
6580558,563066300,2020-01-02 22:59:17,38.92686,-75.15887,0.0,3.5,334.0,,,,,1.0,,,,,A,31.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6580558_dualchannel.tif,1358.2209230276856
6942105,538005657,2020-01-02 23:07:06,38.92108,-76.40602,0.0,207.5,78.0,DONG-A GLAUCOS,IMO9441867,V7DB3,70.0,0.0,232.0,32.0,10.0,70.0,A,500.0,S1A_IW_GRDH_1SDV_20200102T225846_20200102T225911_030628_038269_659E,"['VV', 'VH']",10.0,EPSG:32618,100.0,2020-01-02,2020-01-02-6942105_dualchannel.tif,36359.21405753996
180791,441318000,2020-01-03 00:30:33,27.82649,-96.95216,0.0,42.7,162.0,,,,,1.0,,,,,A,242.0,S1A_IW_GRDH_1SDV_20200103T003435_20200103T003500_030629_038272_81DA,"['VV', 'VH']",10.0,EPSG:32614,100.0,2020-01-03,2020-01-03-180791_dualchannel.tif,1750.1632272244012
3918961,636015177,2020-01-03 14:15:55,37.72746,-122.33628,0.0,275.4,4.0,AQUALOYALTY,IMO9594664,A8ZC6,80.0,1.0,248.0,43.0,15.0,80.0,A,13.0,S1A_IW_GRDH_1SDV_20200103T141608_20200103T141633_030637_0382C4_6362,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-03,2020-01-03-3918961_dualchannel.tif,890.6316385217224
169593,368445000,2020-01-03 00:33:51,27.85911,-96.94234,0.0,37.5,134.0,OVERSEAS NIKISKI,IMO9353577,WDBH,80.0,1.0,183.0,32.0,12.2,80.0,A,44.0,S1A_IW_GRDH_1SDV_20200103T003435_20200103T003500_030629_038272_81DA,"['VV', 'VH']",10.0,EPSG:32614,100.0,2020-01-03,2020-01-03-169593_dualchannel.tif,2089.4970237015946
3901492,357254000,2020-01-03 14:13:13,37.72688,-122.3262,0.0,86.9,353.0,TS CHALLENGE,IMO9719343,3FKU5,70.0,1.0,182.0,,,,A,175.0,S1A_IW_GRDH_1SDV_20200103T141608_20200103T141633_030637_0382C4_6362,"['VV', 'VH']",10.0,EPSG:32610,100.0,2020-01-03,2020-01-03-3901492_dualchannel.tif,890.6316385217224
423195,241604000,2020-01-03 00:34:41,27.79319,-96.89887,0.0,69.7,133.0,,,,,1.0,,,,,A,6.0,S1A_IW_GRDH_1SDV_20200103T003435_20200103T003500_030629_038272_81DA,"['VV', 'VH']",10.0,EPSG:32614,100.0,2020-01-03,2020-01-03-423195_dualchannel.tif,1743.540608421653
